4x4_count D - 1 fix_S1,4x4_DT D - 1 fix_S1
24.0,398.375
31.0,262.870967742
22.0,216.727272727
22.0,128.454545455
28.0,220.25
22.0,134.681818182
24.0,186.791666667
33.0,247.333333333
25.0,219.68
19.0,277.736842105
28.0,167.571428571
37.0,243.945945946
31.0,216.64516129
32.0,194.40625
23.0,149.391304348
29.0,202.482758621
31.0,149.64516129
21.0,193.857142857
30.0,246.233333333
27.0,202.333333333
24.0,179.0
28.0,179.678571429
30.0,192.366666667
24.0,173.208333333
29.0,166.0
31.0,103.612903226
33.0,465.484848485
31.0,203.774193548
32.0,321.9375
32.0,198.46875
21.0,165.857142857
27.0,139.666666667
35.0,310.371428571
27.0,174.259259259
30.0,156.3
35.0,201.314285714
24.0,181.041666667
24.0,165.833333333
29.0,356.034482759
31.0,207.935483871
23.0,141.52173913
27.0,162.111111111
28.0,209.785714286
30.0,141.433333333
28.0,172.035714286
32.0,145.78125
27.0,376.666666667
30.0,160.7
17.0,549.588235294
13.0,380.153846154
25.0,129.6
22.0,145.636363636
20.0,142.8
